locality_name,property_count,price_range,avg_price,avg_area,common_bhk,top_amenities,target_audience,locality_personality,avg_quality_score
"Ghatlodiya, Ahmedabad",12,₹0.30 Cr - ₹0.70 Cr,₹0.51 Cr,628 sq ft,2 BHK,"school, park, garden, parking, security","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",53.08
"Navrangpura, Ahmedabad",12,₹0.62 Cr - ₹2.70 Cr,₹1.59 Cr,1743 sq ft,3 BHK,"metro, hospital, school, park, parking","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",62.92
"Vejalpur, Jivraj park, Ahmedabad",11,₹0.09 Cr - ₹0.65 Cr,₹0.38 Cr,634 sq ft,1 BHK,"park, school, hospital, parking, garden","Students, Single professionals, First-time buyers, Budget-conscious, Families with kids","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",62.45
"Narolgam, Ahmedabad",11,₹0.13 Cr - ₹0.62 Cr,₹0.29 Cr,1138 sq ft,2 BHK,"school, hospital, park, garden, parking","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals",Narolgam presents itself as a highly **budget-friendly,66.09
"Jagatpur, Ahmedabad",11,₹0.50 Cr - ₹2.55 Cr,₹1.02 Cr,1133 sq ft,2 BHK,"school, park, garden, lift, parking","Upper-middle class, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",65.18
"Vasna, Ahmedabad",10,₹0.28 Cr - ₹0.79 Cr,₹0.55 Cr,854 sq ft,2 BHK,"school, hospital, metro, park, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",58.8
"Zundal, Ahmedabad",10,₹0.45 Cr - ₹1.55 Cr,₹0.72 Cr,1450 sq ft,3 BHK,"school, garden, park, parking, lift","Middle-income families, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",55.0
"Maninagar East, Maninagar, Ahmedabad",10,₹0.14 Cr - ₹1.20 Cr,₹0.38 Cr,699 sq ft,1 BHK,park,"Students, Single professionals, First-time buyers, Budget-conscious","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",53.5
"Naroda, Ahmedabad",10,₹0.28 Cr - ₹2.10 Cr,₹0.66 Cr,1385 sq ft,3 BHK,"school, hospital, park, garden, parking","Middle-income families, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",63.4
"Riverside Park, Vasna, Ahmedabad",10,₹0.03 Cr - ₹0.72 Cr,₹0.49 Cr,661 sq ft,2 BHK,"hospital, park, school, metro, gated community","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",60.1
"Godrej Green Glades, Jagatpur, Ahmedabad",9,₹0.48 Cr - ₹1.20 Cr,₹0.71 Cr,806 sq ft,2 BHK,"school, garden, park, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",43.22
"Science City, Ahmedabad",9,₹0.87 Cr - ₹3.21 Cr,₹1.80 Cr,2005 sq ft,3 BHK,"hospital, park, parking, school, garden","Upper-middle class, Families with kids, Families with children, Fitness enthusiasts","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",65.0
"Radhe skyline, Sanand, Ahmedabad",9,₹0.41 Cr - ₹0.68 Cr,₹0.50 Cr,1046 sq ft,2 BHK,"hospital, school, garden, park, parking","Fitness enthusiasts, Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",61.11
"Vastrapur, Ahmedabad",9,₹0.34 Cr - ₹3.00 Cr,₹1.56 Cr,1661 sq ft,3 BHK,"hospital, school, park, lake, parking","Upper-middle class, Families with kids, Families with children, Fitness enthusiasts","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",65.89
"Bodakdev, Ahmedabad",8,₹0.89 Cr - ₹9.49 Cr,₹2.64 Cr,2125 sq ft,4 BHK,"school, hospital, park, parking, garden","Families with kids, High-income buyers, Large families","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",72.5
"Rajyash Regius, Bopal, Ahmedabad",8,₹1.45 Cr - ₹9.80 Cr,₹3.06 Cr,2746 sq ft,4 BHK,"hospital, school, garden, park, lift","Fitness enthusiasts, Families with kids, High-income buyers, Large families","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",62.12
"Satellite, Ahmedabad",8,₹0.70 Cr - ₹2.49 Cr,₹1.16 Cr,1206 sq ft,2 BHK,"hospital, park, school, parking, garden","Upper-middle class, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",55.25
"Sola, Ahmedabad",8,₹0.55 Cr - ₹2.75 Cr,₹1.08 Cr,1486 sq ft,2 BHK,"hospital, school, park, parking, garden","Upper-middle class, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",62.38
"Parishkaar, Khokhra, Ahmedabad",8,₹0.55 Cr - ₹0.90 Cr,₹0.69 Cr,1141 sq ft,3 BHK,"park, shopping mall, garden","Middle-income families, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",52.38
"Shilp Residency, Gota, Ahmedabad",7,₹1.15 Cr - ₹2.19 Cr,₹1.57 Cr,2159 sq ft,3 BHK,"hospital, park, parking, school, garden","Upper-middle class, Families with kids, Families with children, Fitness enthusiasts","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",67.43
"Sarkhej Gandhinagar Highway, Ahmedabad",7,₹0.52 Cr - ₹6.51 Cr,₹1.78 Cr,1555 sq ft,2 BHK,"garden, park, hospital, parking, swimming pool","Upper-middle class, Families with kids, Small families, Working professionals, Fitness enthusiasts","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",64.43
"New Maninagar, Ahmedabad",7,₹0.28 Cr - ₹0.50 Cr,₹0.39 Cr,916 sq ft,2 BHK,"park, school, garden, parking, lift","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",68.57
"Thaltej, Ahmedabad",7,₹0.38 Cr - ₹3.17 Cr,₹1.26 Cr,1238 sq ft,2 BHK,"park, garden, school, hospital, parking","Upper-middle class, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",77.71
"Sardar Patel Ring Road, Ahmedabad",7,₹0.15 Cr - ₹0.85 Cr,₹0.53 Cr,1048 sq ft,1 BHK,"school, park, parking, garden, hospital","Students, Single professionals, Middle-income families, Families with kids","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",57.0
"Sanidhya Flora New Ranip, New Ranip, Ahmedabad",7,₹0.32 Cr - ₹0.55 Cr,₹0.47 Cr,956 sq ft,2 BHK,"hospital, school, garden, park, lift","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",56.14
"Pacifica North Enclave, Vaishnodevi Circle, Ahmedabad",7,₹0.55 Cr - ₹0.82 Cr,₹0.65 Cr,824 sq ft,2 BHK,"lake, school, hospital, park, garden","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",61.57
"Vatva, Ahmedabad",7,₹0.15 Cr - ₹0.45 Cr,₹0.28 Cr,768 sq ft,2 BHK,"school, hospital, park, garden, parking","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",58.57
"Tulsi Shyam Saanvi, Chandkheda, Ahmedabad",7,₹0.65 Cr - ₹1.25 Cr,₹0.83 Cr,1811 sq ft,3 BHK,"hospital, garden, school, park","Middle-income families, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",52.29
"Shilp Revanta, Shela, Ahmedabad",7,₹0.62 Cr - ₹0.86 Cr,₹0.73 Cr,1318 sq ft,3 BHK,"school, park, garden, parking, gym","Middle-income families, Fitness enthusiasts, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",56.29
"Nava Naroda, Ahmedabad",7,₹0.17 Cr - ₹0.60 Cr,₹0.44 Cr,949 sq ft,2 BHK,"school, hospital, park, garden, parking","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",60.57
"Sanand, Ahmedabad",7,₹0.14 Cr - ₹0.75 Cr,₹0.39 Cr,716 sq ft,1 BHK,"hospital, school, garden, park, parking","Students, Single professionals, First-time buyers, Budget-conscious, Families with kids","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",61.57
"Chandlodiya, Ahmedabad",7,₹0.33 Cr - ₹0.58 Cr,₹0.53 Cr,862 sq ft,2 BHK,"hospital, school, park, garden, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",48.57
"Jivraj Park, Ahmedabad",7,₹0.42 Cr - ₹1.50 Cr,₹0.73 Cr,862 sq ft,2 BHK,"metro, park, school, parking, garden","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",62.43
"Kankaria, Ahmedabad",6,₹0.31 Cr - ₹1.15 Cr,₹0.82 Cr,1700 sq ft,3 BHK,"lift, park, parking, lake","Middle-income families, Families with children","Kankaria emerges as a **mid-to-premium, family-oriented locality** offering spacious living. With an average area of 1700 sq ft and predominantly 3 BHK homes, it caters to families seeking comfort and room to grow. The presence of parks and especially the lake points to a **v",42.0
"Shilaj, Ahmedabad",6,₹0.75 Cr - ₹1.50 Cr,₹0.94 Cr,1126 sq ft,3 BHK,"school, hospital, park, garden, parking","Middle-income families, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",60.83
"42 Parkview, Science City, Ahmedabad",6,₹1.07 Cr - ₹1.95 Cr,₹1.41 Cr,2301 sq ft,3 BHK,"hospital, park, school","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",49.67
"Safal Riviera Aspire, Shela, Ahmedabad",6,₹1.50 Cr - ₹2.25 Cr,₹1.84 Cr,1640 sq ft,3 BHK,"school, park, garden, parking","Upper-middle class, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",54.33
"Usmanpura, Ahmedabad",6,₹0.55 Cr - ₹2.50 Cr,₹1.13 Cr,1300 sq ft,2 BHK,"school, park, parking, garden, hospital","Upper-middle class, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",59.17
"New Ranip, Ahmedabad",6,₹0.45 Cr - ₹0.58 Cr,₹0.52 Cr,784 sq ft,2 BHK,"school, hospital, park, garden, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",65.0
"Nebula Aavaas, Changodar, Ahmedabad",6,₹0.15 Cr - ₹0.22 Cr,₹0.18 Cr,574 sq ft,1 BHK,"hospital, school","Students, Single professionals, First-time buyers, Budget-conscious, Families with kids","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",50.33
"Aashray Aurum, Ambli, Ahmedabad",6,₹0.95 Cr - ₹1.05 Cr,₹0.99 Cr,1520 sq ft,3 BHK,"hospital, shopping mall, park, garden, parking","Middle-income families, Fitness enthusiasts, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",63.17
"Sun Atmosphere, Shela, Ahmedabad",6,₹0.56 Cr - ₹0.65 Cr,₹0.61 Cr,904 sq ft,2 BHK,"school, garden, park, parking","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",54.33
"Memnagar, Ahmedabad",6,₹0.38 Cr - ₹0.99 Cr,₹0.77 Cr,1037 sq ft,2 BHK,"metro, hospital, park, garden, school","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",69.17
"Deep Indraprasth Shivanta, Ambli, Ahmedabad",5,₹1.95 Cr - ₹2.50 Cr,₹2.19 Cr,1961 sq ft,4 BHK,"shopping mall, hospital, garden, park","High-income buyers, Large families","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",53.8
"Prahlad Nagar, Ahmedabad",5,₹0.78 Cr - ₹1.15 Cr,₹0.97 Cr,1046 sq ft,3 BHK,"hospital, garden, park, school, parking","Middle-income families, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",63.4
"Tragad, Ahmedabad",5,₹0.48 Cr - ₹1.30 Cr,₹0.85 Cr,1197 sq ft,3 BHK,"park, parking, lift, garden, gym","Middle-income families, Fitness enthusiasts, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",52.8
"DR Praharsh Bluebell, South Bopal, Bopal, Ahmedabad",5,₹0.80 Cr - ₹1.00 Cr,₹0.88 Cr,1492 sq ft,3 BHK,"garden, park, hospital, parking, swimming pool","Middle-income families, Fitness enthusiasts, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",58.6
"Ambli, Ahmedabad",5,₹0.92 Cr - ₹2.65 Cr,₹1.71 Cr,1613 sq ft,3 BHK,"park, garden, shopping mall, hospital, parking","Upper-middle class, Families with kids, Families with children, Fitness enthusiasts","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",77.8
"Shantigram, Ahmedabad",5,₹0.57 Cr - ₹4.75 Cr,₹1.53 Cr,1808 sq ft,2 BHK,"garden, park, swimming pool, security, clubhouse","Upper-middle class, Small families, Working professionals, Fitness enthusiasts","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",54.6
"Nana Chiloda, Ahmedabad",5,₹0.31 Cr - ₹0.75 Cr,₹0.46 Cr,1280 sq ft,2 BHK,"hospital, park, garden, lift, parking","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",55.0
"Shilp Ananta, Shela, Ahmedabad",5,₹0.42 Cr - ₹0.57 Cr,₹0.50 Cr,941 sq ft,2 BHK,"school, garden, park","Families with kids, First-time buyers, Budget-conscious, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",55.2
"Shaligram Prime, South Bopal, Bopal, Ahmedabad",5,₹0.47 Cr - ₹1.11 Cr,₹0.92 Cr,1084 sq ft,3 BHK,"hospital, park, garden, parking, swimming pool","Middle-income families, Fitness enthusiasts, Families with kids, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",56.2
"Keshav Nagar, Ahmedabad",5,₹0.45 Cr - ₹1.05 Cr,₹0.67 Cr,983 sq ft,3 BHK,"lift, gated community, metro, security, cctv","Middle-income families, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",46.8
"JP Iscon Platinum, Bopal, Ahmedabad",5,₹1.10 Cr - ₹4.00 Cr,₹2.09 Cr,2540 sq ft,2 BHK,"school, hospital, park, garden, lift","Families with kids, High-income buyers, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",61.6
"Vasupujya Kautilya 99, Vaishnodevi Circle, Ahmedabad",5,₹0.42 Cr - ₹0.62 Cr,₹0.52 Cr,1024 sq ft,2 BHK,"hospital, school, lake, park, garden","Middle-income families, Families with kids, Small families, Working professionals","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",53.4
"Aurum Heights, Ambli, Ahmedabad",5,₹1.84 Cr - ₹2.10 Cr,₹1.95 Cr,2832 sq ft,3 BHK,"shopping mall, hospital","Upper-middle class, Families with children","Unable to generate personality: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",48.4
